Slokam,Slokam_en,"Slokam Meaning"
" <p>सत्त्ववान् सात्त्विकः सत्यः सत्यधर्मपरायणः ।<br>अभिप्रायः प्रियार्होऽर्हः प्रियकृत् प्रीतिवर्धनः ॥ ९३॥</p>"," <p>sattvavān sāttvikaḥ satyaḥ satyadharmaparāyaṇaḥ,<br>abhiprāyaḥ priyārho&rsquo;rhaḥ priyakṛt pritivardhanaḥ. (93)</p>","  <p><strong>871. Satvavān</strong> &ndash; a) He Who controls the sattva guna that paves the way for liberation. b) One Who possesses courage, strength etc. c) One Who is determined to bestow His blessings on His devotees. Om sattva-vate namah.<br><strong>872. Sāttvikaḥ</strong> &ndash; a) He Who confers the fruits of sattva guna. b) One Who is essentially established in sattva guNa. Om sattvikaya namah.</p>
    <p><strong>873. Satyaḥ</strong> &ndash; a) One Who is well-disposed towards pious souls. b) One Who is good in a supreme way. c) He Who is established in Truth. d) He Who is Real, and who alone exists ( Sri Sankara). e) He Who is in the form of prana, anna, and surya. Om satyaya namah.</p>
    <p><strong>874. Satya-dharma-parāyaṇaḥ</strong> &ndash; a) He Who is pleased with the true dharma practiced by His devotees. b) He Who is ever devoted to, and established in, Truth and in righteousness. c) He Who provides the support to, and Who shows the path for, those who follow the superior path of dharma. d) Refuge of devotees such as yadu, turvasa, etc., who take interest in discharging virtuous duties. Om satya-dharma-parayanaya namah.</p>
    <p><strong>875. Abhiprāyaḥ</strong> &ndash; a) He Who is the object of choice. b) He to Whom all beings go (praiti) directly (abhi) &nbsp;during pralaya. c) He Who exclusively directs the activities of all &nbsp;others. Om abhiprayaya namah.</p>
    <p><strong>876. Priyārhaḥ</strong> &ndash; a) He Who is rightly the object of love. b) He Who deserves to be offered our most beloved &nbsp;offerings. Om priyarhaya namah.</p>
    <p><strong>877. Arhaḥ</strong> &ndash; The fitting Lord to be worshipped. Om arhaya namah.</p>
    <p><strong>878. Priyakṛt</strong> &ndash; He Who does what is wanted by others. om priya-krte namah.</p>
    <p><strong>879. Pritivardhanaḥ &ndash;&nbsp;</strong>a) Who increases the joy of His devotees. b) He Who fulfills the love of His devotees. Om prIti-vardhanaya namah.</p>"
" <p>विहायसगतिर्ज्योतिः सुरुचिर्हुतभुग्विभुः ।<br>रविर्विरोचनः सूर्यः सविता रविलोचनः ॥ ९४॥</p>"," <p>vihāyasagatirjyōtiḥ surucirhutabhugvibhuḥ,<br>ravirvirōcanaḥ sūryaḥ savitā ravilōcanaḥ. (94)</p>","  <p><strong>880. Vihāyasa-gatiḥ</strong> &ndash; a) He Who is the means for the attainment of paramapadam. b) He Who travels in the form of the Sun. c) He Who travels in space through His vehicle Garuda- the King of birds. d) He Who is attained by tapasvins through their tapas (ha &ndash; tyage &ndash; to abandon). Om vihayasa-gataye namah.<br><strong>881. Jyotiḥ</strong> &ndash; a) The Light that leads to Sri Vaikuntham. b) The Light that is self-luminous. c) The Light that illuminates the Sun, the moon etc. Om jyotishe namah.</p>
    <p><strong>882. Suruciḥ</strong> &ndash; a) He of lovely effulgence &ndash; The Day time. b) One Who has the good desire or Will to protect the world. c) He Who is the cause of all the effulgence in everything. d) He Who has intense attachment to His devotees. Om su-rucaye enamah.</p>
    <p><strong>883. Hutabhuk-Vibhuḥ</strong> &ndash; <strong>He that is the Bright Fortnight of the Moon</strong>. Om huta-bhug-vibhave namah.</p>
    <p><strong>884. Raviḥ</strong> &ndash; a) The Sun in his uttarayana or Summer solstice. b) He Who is responsible for the ability of all cetana-s and acetana-s to make sound. c) He Who is praised by His devotees. Om ravaye namah.</p>
    <p><strong>885. Virōcanaḥ</strong> &ndash; a) The Illuminant (the year). b) He of various splendors &ndash; such as Sun, moon, day, night, etc. c) He Who shines in the minds of His devotees in various special ways. d) He Who gave special sight (divya cakshus) to arjuna, sa&rsquo;njaya etc. (vi-locanah). om virocanaya namaH.</p>
    <p><strong>886. Sūryaḥ</strong> &ndash; a) The source of movement in the form of wind. b) He Who brings forth everything, or He Who brings &nbsp;forth wealth. c) One who generates Sri or brilliance in surya or &nbsp;agni (sacred fire). d) He because of Whom we get enlightenment. Om suryaya namah.</p>
    <p><strong>887. Savitā</strong> &ndash; a) He Who produces or brings forth the crops etc., in the form of the Sun. b) He Who brings forth everything in the Universe (including the sun etc.). om savitre namah.</p>
    <p><strong>888. Ravi-lōcanaḥ &ndash;</strong> a) He Who illuminates (through the rays of the sun). b) He that has the Sun for His eye. c) He from Whose eyes the Sun was born. d) He Who is fond of praise. om ravi-locanaya namah.</p>"
" <p>अनन्तो हुतभुग्भोक्ता सुखदो नैकजोऽग्रजः ।<br>अनिर्विण्णः सदामर्षी लोकाधिष्ठानमद्भुतः ॥ ९५॥</p>"," <p>anantō hutabhugbhōktā sukhadō naikajōgrajaḥ,<br>anirviṇṇaḥ sadāmarṣī lōkādhiṣṭhānamadbhutaḥ. (95)</p>","  <p><strong>889. Anantaḥ-Hutabhuk-Bhoktā</strong> &ndash; a) He Who is indra and brahmA of &nbsp;immeasurable greatness. b) He Who is endless, and Who consumes the offerings &nbsp;through fire. om ananta-huta-bhug-bhoktre namah.</p>
    <p><strong>890. Sukhadaḥ</strong> &ndash; a) The Giver of Bliss to His devotees. b) The Remover of happiness for the wicked. c) The Remover of tiny pleasures from His devotees &nbsp;(dyati &ndash; cuts) so that they can seek the Higher Bliss. d) The Remover of unhappiness for His devotees (a- sukha-dah; dyati &ndash; cuts). e) He Who is the source of water for all beings &nbsp;(sukham = udakam &nbsp;= water). f) He Who has given a beautiful body to the jivas. Om sukha-dAya namah.</p>
    <p><strong>891. Naikajaḥ</strong> &ndash; a) The Giver of many things (Literally, The Giver of Not just one thing). b) He Who is not `born&rsquo; just once, but many times (naika-jaH). Om naika-dAya namaH.</p>
    <p><strong>892. Agrajaḥ</strong> &ndash; He Who manifests in front of the mukta-s. om agra-jAya namaH.</p>
    <p><strong>893. Anirviṇṇaḥ</strong> &ndash; a) He Who is not despondent that the jIva-s are &nbsp;not resorting to Him for redemption. b ) He Who is relieved of worry after having liberated a jIva who &nbsp;becomes a mukta. c) He Who is not depressed because He has nothing to wish for. d) He Who is not tired of fulfilling the wishes of His devotees. om a-nir-viNNAya namaH.</p>
    <p><strong>894. Sadāmarṣī</strong> &ndash; a) He Who is ever patient (sada_marshI). b) He Who is patient towards the mistakes of good &nbsp;people (sat +A+marshI). c) He Who is extremely impatient with the wicked &nbsp;people (sada + amarshI). Om sada-marshine namah.</p>
    <p><strong>895. Lōkādhiṣṭhānam</strong> &ndash; The Support of all the worlds. Om lokadhishthanaya namah.</p>
    <p><strong>896. Adbhutaḥ</strong> &ndash; a) He Who is extremely wonderful. b) He Who makes appearances occasionally amongst us. c) He because of Whom grains, food etc. exist (Adyam &nbsp;= grains). om adbhutaya namah.</p>"
" <p>सनात्सनातनतमः कपिलः कपिरव्ययः ।<br>स्वस्तिदः स्वस्तिकृत्स्वस्ति स्वस्तिभुक्स्वस्तिदक्षिणः ॥ ९६॥</p>","  <p>sanātsanātanatamaḥ kapilaḥ kapiravyayaḥ,<br>svastidaḥ svastikṛtsvasti svastibhuksvastidakṣiṇaḥ. (96)</p>","  <p><strong>897. Sanāt</strong> &ndash; a) The Object of enjoyment. b) He Who is in the form of Time. c) He Who is Eternal, Immutable, and always of the same beautiful Form. om sanate namah.</p>
    <p><strong>898. Sanātanatamaḥ</strong> &ndash; The Most Ancient. om sanatana-tamaya namah.&nbsp;</p>
    <p><strong>899. Kapilaḥ</strong> &ndash; He Who is of beautiful complexion. Om kapilaya namah.</p>
    <p><strong>900. Kapiḥ-Avyayaḥ</strong> &ndash; He Who enjoys the never-diminishing Bliss. om kapaye-avyayaya namah.</p>
    <p><strong>901. Svastidaḥ&nbsp;</strong>&ndash; The Giver of Auspiciousness. om svasti-daya namah.</p>
    <p><strong>902. Svastikṛt</strong> &ndash; The Doer of good to the devotees. om svasti-krte namah.</p>
    <p><strong>903. Svasti&nbsp;</strong>&ndash; He Who is Auspiciousness. om svastine namah.</p>
    <p><strong>904. Svastibhuk</strong> &ndash; &nbsp;a) The Protector of all that is auspicious. &nbsp;b) The Enjoyer of Bliss. c) He Who enables His devotees to enjoy bliss. om svasti-bhuje namah.</p>
    <p><strong>905. Svastidakṣiṇaḥ</strong> &ndash; &nbsp;He Who gives auspicious things as dakshina to &nbsp;His devotees. &nbsp;om svasti-dakshinaya namh.</p>"
"  <p>अरौद्रः कुण्डली चक्री विक्रम्यूर्जितशासनः ।<br>शब्दातिगः शब्दसहः शिशिरः शर्वरीकरः ॥ ९७॥</p>","  <p>araudraḥ kunḍalī cakrī vikramyūrjitaśāsanaḥ,<br>śabdātigaḥ śabdasahaḥ śiśiraḥ śarvarīkaraḥ. (97)</p>","  <p><strong>906. Araudraḥ</strong> &ndash; He Who is not driven to anger easily. om a-raudraya namaH.</p>
    <p><strong>907. Kunḍalī</strong> &ndash; He Who is bedecked with beautiful ear-rings. om kundaline namah.</p>
    <p><strong>908. Cakrī</strong> &ndash; &nbsp;One with the Discus in His arm. om cakrine namah.</p>
    <p><strong>909. Vikramī</strong> &ndash; a) He Who has prowess. b) He with the characteristic stride (in His tri- vikrama incarnation). c) He Who has no difference in His different &nbsp;incarnations. d) He Who has a distinguishing role &ndash; that of &nbsp;protection. om vikramine namah.</p>
    <p><strong>910. Ūrjita-śāsanaḥ</strong> &ndash; He of inviolable commands. om urjita-sasanaya namah.</p>
    <p><strong>911. Śabdātigaḥ</strong> &ndash; He Who is beyond words. om sabdatigaya namah.</p>
    <p><strong>912. Śabdasahaḥ</strong> &ndash; He Who shoulders the burden of the words of cry of &nbsp;distress. om sabda-sahaya namah.</p>
    <p><strong>913. Śiśiraḥ</strong> &ndash; He Who rushed to render help. om sisiraya namah.</p>
    <p><strong>914. Śarvarīkaraḥ</strong> &ndash; a) He Who had the destructive weapons in His &nbsp;hands. b) The Maker of `night&rsquo; &ndash; in the form of samsara. c) The maker of night &nbsp;&ndash; the time for rest. d) He Who is in the form of the cool rays of the moon &nbsp;in the nights. e) He Who causes destruction of His enemies. om sarvari-karaya namah.</p>"
"  <p>अक्रूरः पेशलो दक्षो दक्षिणः क्षमिणांवरः ।<br>विद्वत्तमो वीतभयः पुण्यश्रवणकीर्तनः ॥ ९८॥</p>","  <p>akrūraḥ peśalō dakṣō dakṣiṇaḥ, kṣamiṇāṁ varaḥ,<br>vidvattamō vītabhayaḥ puṇyaśravaṇakīrtanaḥ. (98)</p>","   <p><strong>915. Akrūraḥ</strong> &ndash; He Who was not cruel (while rescuing gajendra). om a-kruraya namah.</p>
    <p><strong>916. Peśalaḥ</strong> &ndash; a) He Who is charming. b) One Who is supremely soft.&nbsp;om pesalaya namah.</p>
    <p><strong>917. Dakṣaḥ</strong> &ndash; a) He Who removes evil elements very quickly (daksh &ndash; sighrarthe). b1) He Who came to the rescue of gajendra very fast (daksh &ndash; sighrarthe). b2) He Who had the Sakti &ndash; power, to arrive very fast at the scene of Gajendra&rsquo;s suffering. c) He Who grows into, or manifests Himself as, the Universe (daksh &ndash; to grow). d) He Who is deft in His creation, sustenance and destruction (daksha &ndash; dexterous). e) He Who destroys His enemies &nbsp;(daksh &ndash; himsanayoh). om dakshaya namah.</p>
    <p><strong>918. Dakṣiṇaḥ</strong> &ndash; a) He Who is pleasing and amiable. b) He Who pervades everywhere. c) He Who destroys everything (at the time of &nbsp;pralaya). d) He Who is very liberal, charitable, and kind. om dakshinaya namah.</p>
    <p><strong>919. Kṣamiṇāṁ varaḥ</strong> &ndash; a) &nbsp;The foremost in bearing the burden of &nbsp;protection of His devotees. b) The Foremost among those who bear the burden of &nbsp;the Universes. om kshaminam-varaya namah.</p>
    <p><strong>920. Vidvattamaḥ</strong> &ndash; &nbsp;The Best among those who know what to do. om vidvat-tamaya namah.</p>
    <p><strong>921. &nbsp;Vītabhayaḥ</strong> &ndash; a) He because of Whom fear is dispelled. b) He Who is devoid of fear. om vIta-bhayaya namah.</p>
    <p><strong>922. Puṇya-śravaṇa-kīrtanaḥ</strong> &ndash; He Whose nama sravanam and kirtanam are &nbsp;purifying. om punya-sravana-kirtanaya namah.</p>"
" <p>उत्तारणो दुष्कृतिहा पुण्यो दुःस्वप्ननाशनः ।<br>वीरहा रक्षणः सन्तो जीवनः पर्यवस्थितः ॥ ९९॥</p>","  <p>uttāraṇō duṣkṛtihā puṇyō duḥsvapnanāśanaḥ,<br>vīrahā rakṣaṇassantō jīvanaḥ paryavasthitaḥ. (99)</p>","   <p><strong>923. Uttāraṇaḥ</strong> &ndash; He Who lifts up. om uttaranaya namah.</p>
    <p><strong>924. Duṣkṛtihā</strong> &ndash; a) He Who slays the evil-doers. b) He Who destroys the sins of those who surrender to Him. om dushkrti-ghne namah.</p>
    <p><strong>925. Puṇyaḥ</strong> &ndash; The Purifier. om punyaya namah.</p>
    <p><strong>926. Duḥsvapna-nāśanaḥ</strong> &ndash; The Remover of evil dreams.&nbsp;om dus-svapna-nasanaya namah.</p>
    <p><strong>927. Vīrahā</strong> &ndash; He Who destroyed the powerful bonds that tied Gajendra &nbsp;to death. om vira-ghne namah.</p>
    <p><strong>928. Rakṣaṇaḥ</strong> &ndash; The Savior. om rakshanaya namah.</p>
    <p><strong>929. Santaḥ</strong> &ndash; &nbsp;a) He Who makes those who have sought refuge in Him &nbsp;prosper. b) He Who exists for His devotees. c) He Who bestows the desired benefits on His devotees. d) He Who manifests Himself in the form of holy men. e) He Who is present everywhere and permeates everything. f) He Who is worshipped. g) He Who expands the world in a controlled way. om santaya namah.</p>
    <p><strong>930. Jīvanaḥ</strong> &ndash; The Life-Giver. om jivanaya namah.</p>
    <p><strong>931. Paryavasthitaḥ</strong> &ndash; He Who stands beside. om paryavasthitaya namah.</p>"
" <p>अनन्तरूपोऽनन्तश्रीर्जितमन्युर्भयापहः ।<br>चतुरश्रो गभीरात्मा विदिशो व्यादिशो दिशः ॥ १००॥</p>","  <p>anantarūpōnantaśrīrjitamanyurbhayāpahaḥ,<br>caturaśrō gabhīrātmā vidiśō vyādiśō diśaḥ. (100)</p>","    <p><strong>932. Ananta-rūpaḥ</strong> &ndash; a) He of infinite Forms. b) He of unending (never decaying) form. c) He of indescribable form &ndash; extending infinitely inall directions. om ananta-rupaya namah</p>
    <p><strong>933. Anantaśrīḥ</strong> &ndash; a) He of infinite wealth, glory, power, etc. b) He of wealth, glory, power etc., that will neverdiminish. om ananta-sriye namah.</p>
    <p><strong>934. Jita-manyuḥ</strong> &ndash; He Who has conquered His anger.om jita-manyave namah.</p>
    <p><strong>935. Bhayāpahaḥ</strong> &ndash; He Who destroys the fear (of samsara) in the mind&nbsp;of the devotee.om&nbsp;bhayapahaya namah.</p>
    <p><strong>936. Caturaśraḥ</strong> &ndash; a) One Who is skilled in all aspects.b) One Who is fair to everybody.c) One from whom wishes are asked for.d) One Who pervades in all four directions.e)&nbsp;One Who nourishes and feeds everything in all fourdirectionsf)&nbsp;One Who is worshipped by the knowledgeable people.om caturasraya namah.</p>
    <p><strong>937. Gabhirātmā</strong> &ndash; He of deep and profound nature.&nbsp;om gabhiratmane namah.</p>
    <p><strong>938. Vidiśaḥ</strong> &ndash; a) One Whose nature, forms, and qualities are spread&nbsp;out in all directions.b)&nbsp;One Who can be reached from all directions.c) He Who bestows all benefits on His devotees.d)&nbsp;He Who pervades everywhere, and is in everything, in alldirections.e) He Who is the cause of happiness for the knowers (of Brahman)&nbsp;&ndash;based on vid &ndash; to know.f) He Who has revealed all sastras in elaborate detail. om vidisaya namah.</p>
    <p><strong>939. Vyādiśaḥ</strong> &ndash; a) He Who appoints the different gods in their&nbsp;respective positions.b) He Who bestows different benefits on devotees&nbsp;based on their karma-s.c)&nbsp;He Who gives directions to the different gods asappropriate.&nbsp;om vyadisaya namah.</p>
    <p><strong>940. Diśaḥ</strong> &ndash; He Who commands. om disaya namah.</p>"
" <p>अनादिर्भूर्भुवो लक्ष्मीः सुवीरो रुचिराङ्गदः ।<br>जननो जनजन्मादिर्भीमो भीमपराक्रमः ॥ १०१॥</p>"," <p>anādirbhūrbhuvō lakṣmīssuvīrō rucirāṅgadaḥ,<br>jananō janajanmādirbhīmō bhīmaparākramaḥ. (101)</p>","   <p><strong>941. Anādiḥ</strong> &ndash; a) He Who is not realized by many because of their ignorance etc. b) He Who has no beginning. om anadaye namah.</p>
    <p><strong>942. Bhūrbhuvaḥ</strong> &ndash; a) He Who is the abode of those who really live (by realizing their relation to the Lord). b) He Who supports that which supports all (namely, the earth). c) He Who exists in Himself (with no other support). d) He Who is the Source of all knowledge. om bhuvo-bhuve namah.</p>
    <p><strong>943. Lakṣmiḥ</strong> &ndash; The Wealth. om lakshmyai namah.</p>
    <p><strong>944. Suvīraḥ</strong> &ndash; om su-viraya namah.</p>
    <p><strong>945. Ruchirāṅgadaḥ</strong> &ndash; a) He Who bestows His lovely form for His devotees to enjoy. b) He Who gives a beautiful body to those who are devoted (e.g., to the hunch-backed woman). c) He Who is adorned with beautiful shoulder ornaments (angadas). d) He Who has given elegant means for all creatures to move about. om rucira&rsquo;ngadaya namah.</p>
    <p><strong>946. Jananaḥ</strong> &ndash; The Creator. om jananaya namah.</p>
    <p><strong>47. Jana-janmādiḥ</strong> &ndash; a) He Who is the root cause of all beings.&nbsp;b) He Who is the ultimate goal of all beings. om jana-janmadaye namah.</p>
    <p><strong>948. Bhimaḥ</strong> &ndash; He Who is frightful to those who do not follow dharma. om bhimaya namah.</p>
    <p><strong>949. Bhima-parākramaḥ</strong> &ndash; om bhima-parakramaya namah.</p>"
" <p>आधारनिलयोऽधाता पुष्पहासः प्रजागरः ।<br>ऊर्ध्वगः सत्पथाचारः प्राणदः प्रणवः पणः ॥ १०२॥</p>","  <p>ādhāranilayōdhātā puṣpahāsaḥ prajāgaraḥ,<br>ūrdhvagassatpathācāraḥ prāṇadaḥ praṇavaḥ paṇaḥ. (102)</p>","<p><strong>950. Ādhāra-nilayaḥ</strong> -&ldquo;One who is the fundamental sustainer&rdquo; -the support for all that exists. All things and all beings are supported by the earth which itself rests upon the lord, the self, that each mind projects the entire world of names and forms.</p>
    <p><strong>951. Adhātā</strong> -&ldquo;Above whom there is no other to control or to command&rdquo; -One who is the supreme controller of all. He is the Law; the eternal truth is that the Law and the Law-Giver are one and the same.</p>
    <p><strong>952. Puṣpahāsaḥ</strong> -&ldquo;He who shines like an opening flower.&rdquo; The bud opens and manifests into the lord at the time of deluge existed as the total Unmanifest, and there after, at the maturity of the vaasanaas, opens up as the manifest world of things and beings, He came to be indicated by this term.</p>
    <p><strong>953. Prajāgaraḥ</strong> -&ldquo;Ever-Awaked&rdquo; -He who knows no sleep. Sleep means &lsquo;non-apprehension.&rsquo; This &lsquo;non-apprehension&rsquo; of reality is called &lsquo;Avidyaa&rsquo; (nescience) which produces our &lsquo;mis-apprehension&rsquo; of I and mine, and the world of pains and shocks. Since Narayana is the self, He is &lsquo;Ever-available&rdquo; and is never asleep to his Eternal-Divine-Nature.</p>
    <p><strong>954. Ūrdhvagaḥ</strong> -&ldquo;One who walks the path of truth&rdquo; -a path which other implicitly follow to reach the Truth Inifinite. &ldquo;Whatever an adored one does, other people will implicitly follow,&rdquo; warns Krishna in Bhagava Geeta. Lord is the standard of perfection&rdquo; and all devotees place him as the ideal -trying to imitate, in their own lives, His Absolute Goodness, Absolute Love and Absolute Peace.</p>
 <p><strong> 955. Satpathācāraḥ: </strong> One who follows the conduct of the good.</p>
    <p><strong>956. Prāṇadaḥ</strong> -&ldquo;One who gives &lsquo;Praana&rsquo; to all.&rdquo; The term &lsquo;Praana&rsquo; in our Sastras means the physiological functions, the manifestations of life in man. Therefore, Narayana, the self, is the Vital Source from which all sense organs, mind and intellect barrow their power of perception, capacities of feeling and their faculties of thinking and understanding.</p>
    <p><strong>957. Praṇavaḥ</strong> -&ldquo;Om-kaara is Pranava.&rdquo; The Infinite reality is indicated by &lsquo;OM&rsquo; in the Vedas. &lsquo;OM&rsquo; is the manifesting sound of the supreme self. Therefore, Sree Narayana is called &lsquo;Pranavah&rsquo;: meaning he is of the &lsquo;nature of Omkaara.&rdquo;</p>
    <p><strong>958. Paṇaḥ</strong> -&ldquo;The supreme Manager of the universe.&rdquo; The root &lsquo;Pana&rsquo; means &ldquo;to transact.&rdquo; By giving the exact rewards for all actions, Lord both orders and justly manages all activities of each individuals and things constituting this scientifically precise universe.</p>"
" <p>प्रमाणं प्राणनिलयः प्राणभृत्प्राणजीवनः ।<br>तत्त्वं तत्त्वविदेकात्मा जन्ममृत्युजरातिगः ॥ १०३॥</p>"," <p>pramāṇaṁ prāṇanilayaḥ prāṇabhṛt prāṇajīvanaḥ,<br>tattvaṁ tattvavidekātmā janmamṛtyujarātigaḥ. (103)</p>","  <p><strong>959. Pramāṇaṁ</strong> -&ldquo;He whose very form is the Vedas&rdquo; -which are the only &lsquo;proof&rsquo; for the Eternal Reality. Or, we may read it: He who is pure Infinite Consciousness (Prajnaanam) as we have it in the great Commandment, &ldquo;Consciousness is the Infinite Reality.&rdquo;</p>
    <p><strong>960. Prāṇanilayaḥ</strong> -&ldquo;He in whom all &lsquo;praanas&rsquo; stand established.&rdquo; He who is very substratum -vital foundation -for all &lsquo;activities&rsquo; manifested in a living organism.</p>
    <p><strong>961. Prāṇa-bhṛt</strong> -&ldquo;He who rules over all &lsquo;Praanas&rsquo; -Sree Hari is the one who causes everyone to eat, digest, feel energized, act, achieve the fruits thereof, grow old and die. In all &lsquo;activities,&rsquo; the great One-commanding, Factor-Divine, Sree Narayana, the self, presides in silent detachment, and by His Presence He initiates and maintains all these activities in all living creatures upon the earth&rsquo;s surface.</p>
    <p><strong>962. Prāṇa-jīvanaḥ</strong> -&ldquo;He who maintains the life-birth in all living creatures.&rdquo; This interpretation is not a happy one as this meaning has just come in the preceding, endearing term. In love, of course, there is no rule that the lover should not repeat the same loving words to address his beloved. But, we can find yet a new depth of suggestion if we understand this term to mean &ldquo;One who is the very life-giving divine-touch in every breath.&rdquo;</p>
    <p><strong>963. Tattvaṁ</strong> -&ldquo;the Reality&rdquo; -that which is eternal, the essence. &ldquo;That which one gains in subjective realization is the self,&rdquo; Sree Narayana.</p>
    <p><strong>964. Tatvavid</strong> -&ldquo;One who has realized fully the reality&rdquo; -meaning the original essential nature of the self. On realizing the self, the individual become the self &nbsp;and, therefore, Sree Narayana, that very self, is One who has realized fully the Reality which is His Own Nature Divine.</p>
    <p><strong>965. Ekātmā</strong> -&ldquo;The Advaita Reality&rdquo; -Narayana is the One self, the Oversoul, Who expresses himself as the individualities of the infinite entities in the universe.</p>
    <p><strong>966. Janma-mṛtyu-jarātigaḥ</strong> -&ldquo;One who knows no change or modifications in Himself.&rdquo; Ever finite object in the world undergoes constant &lsquo;change&rsquo; and each of them is extremely painful. They are birth, growth, decay, and the Eternal, the changeless Self, Sree Narayana, Ever- the-same Supreme. Geeta thunders the nature of the self to be &ldquo;ever-birthless and never dying,&rdquo; and once It has existed, Self never becomes non-existent.</p>"
" <p>भूर्भुवःस्वस्तरुस्तारः सविता प्रपितामहः ।<br>यज्ञो यज्ञपतिर्यज्वा यज्ञाङ्गो यज्ञवाहनः ॥ १०४॥</p>"," <p>bhūrbhuvaḥsvastarustāraḥ savitā prapitāmahaḥ,<br>yaj&ntilde;ō yaj&ntilde;apatiryajvā yaj&ntilde;āṅgō yaj&ntilde;avāhanaḥ. (104)</p>","   <p><strong>967. Bhūr-bhuvaḥ-svastaruḥ</strong> -&ldquo;One who is snap in the tree-of-life existing in all the universe of the higher world, our-world and the lower world.&rdquo; The famous Vedic terms bhooh Bhuvah and Svah connote the three worlds (lokas). The world &lsquo;Loka&rsquo; in Sanskrit means &ldquo;a field of experience.&rdquo; Therefore, in fact, these three terms, called Vyaahritees, subjectively represents all our experiences in the walking, dream and deep-sleep states of consciousness. His constant Yajna to nurture and nourish the Universe. So, this epithet has been given to Sree Narayana, the infinite Self, the glorious Essence (Sap) that pervades the entire Tree-of-Life-flowering out to even embrace all experiences in all planes of Consciousness. Everywhere, in the everything at all times.</p>
    <p><strong>968. Tāraḥ</strong> -&ldquo;One who helps all to cross -over&rdquo; -the Eternal Boat-man, to whom, if the devotees can surrender in unswerving faith and true devotion, he will surely row them across the &ldquo;Ocean of samsara:&rdquo; that one is Taarah. Through exclusive, devoted meditation, alert with understanding, the individuality in each of us wakes up to the higher plane &ndash; and there is Be-attitude to experience the Self, the eternal Brahman &ndash; Sree Hari.</p>
    <p><strong>969. Savitā</strong> -&ldquo;He who is the father of All&rdquo; -Who is the eternal father of the entire Universe.</p>
    <p><strong>970. Prapitāmahaḥ</strong> -&ldquo;He who is the father of even the &lsquo;Father of all Beings,&rsquo; the creator, Brahmaaji, of the trinity.&rdquo; The creator Himself rose from the Absolute self. Creator is known in our scriptural language as Pitaamaha -the Father.</p>
    <p><strong>971. Yajñaḥ</strong> -&ldquo;One whose very nature is yajna.&rdquo; The term yajna means &ldquo;work undertaken with a pure spirit of total dedication in complete co-operative endeavor with total selflessness, there is Sree Narayana in action through His creatures.</p>
    <p><strong>972. Yajñapatiḥ</strong> -&ldquo;The lord of all yajnas.&rdquo; I am the &lsquo;Enjoyer&rsquo; in all self -dedicated, co-operative endeavors (Yajna). These are the joyous words of the lord who Himself declares; &ldquo;The &lsquo;Enjoyer&rsquo; and the &lsquo;lord&rsquo; in all yajnas am I.&rdquo;</p>
    <p><strong>973. Yajvā</strong> -&ldquo;The one who performs Yajna according to the strict prescriptions laid down in Vedas&rdquo; -the one who maintains in ll his divine actions the true Yajna spirit.</p>
    <p><strong>974. Yajñāngaḥ</strong> -&ldquo;One whose limbs are the &lsquo;things&rsquo; employed in Yajna.&rdquo; In Harivamsa we told that &lsquo;things&rsquo; are the very aspects of Lord Sree Narayana.</p>
    <p><strong>975. Yajña-vāhanaḥ</strong> -&ldquo;One who fulfils Yajnas in complete and exact accord with the Vedic instructions.&rdquo;</p>"
