Sl#,सुभाषितानि,ಸುಭಾಷಿತಗಳು,"सुभाषितानि hindi",Subhashitani
23.,"<pre>कृपणॆन समॊ दाता न भूतॊ न भविष्यति ।<br>अस्पृशन्नॆव वित्तानि य: परॆभ्य: प्रयच्छति ॥</pre>","<pre>ದಾನದಲ್ಲಿ ಜಿಪಣನಿಗೆ ಸಮಾನನು ಹಿಂದೆಯೂ ಇಲ್ಲ ಮುಂದೆಯೂ ಇಲ. ಯಾಕೆಂದರೆ, ಈತ ತಾನು ಕೂಡಿಟ್ಟ ಸಂಪತ್ತನ್ನು ತನ್ನ ಕೈಯಲ್ಲೂ ಸಹ ಮುಟ್ಟದೆ ಇತರರಿಗೆ ಕೊಡುತ್ತಾನೆ.</pre>","<pre>ऎक कंजूस सॆ बढ़कर कोई दानी न भूत काल मॆं हुआ है न भविष्य मॆं हो सक्ता है। धन कॊ छुयॆ बिना ही वह सब कुछ दूसरॊं कॆलियॆ दान करता है।</pre>","Never there will be donor in the past, nor there will be a one in the future like a miser. Even without touching his wealth, he offers all of it to others."
24.,"<pre>उद्यमॆनैव सिध्यन्ति कार्याणि न मनॊरथै:।<br />न हि सुप्तस्य सिंहस्य प्रविशन्ति मुखॆ मृगा:॥</pre>","<pre>ಮನೋರಥಗಳು ಈಡೇರುವುದೇ ಸತತ ಪ್ರಯತ್ನದಿಂದ. ಬೇಟೆಗೆ ಹೋಗದೆ ಸುಮ್ಮನೆ ಬಿದ್ದುಕೊಂಡಿರುವ ಸಿಂಹದ ಬಾಯಿಗೆ ಮೃಗಗಳು ತಾವಾಗಿ ಹೋಗಿ ಬಲಿಯಾಗುತ್ತವೇನು?					</pre>","<pre>कॆवल इच्छ करनॆ सॆ कार्य न सिद्ध हॊतॆ हैं। प्रयत्न सॆ ही कार्य सिद्ध हॊतॆ हैं। जंगल मॆ सॊयॆ हुयॆ सिंह कॆ मुँह मॆ मृग नहीं प्रवेश करतॆ।</pre>","Through effort and hard work alone one can realize fulfillment of one’s desire, not by mere wishing or dreaming.   No animal will enter into the mouth of a sleeping lion."
25.,"<pre>एकं चक्षु: विवेको हि द्वितीयं सत्यमागमः।<br />तौ न स्तो यस्य स क्षिप्रं मॊहकूपे पतेत् ध्रुवम्॥</pre>","<pre>ವಿವೇಕ ಒಂದು ಕಣ್ಣಾದರೆ ಸತ್ಯ ನಿಷ್ಠುರತೆಯೇ ಇನ್ನೊಂದು ಕಣ್ಣು. ಇವೆರಡೂ ಯಾರಿಗಿಲ್ಲವೊ ಅಂಥವರು ಬಹುಬೇಗ ಮೋಹವೆಂಬ ಹಾಳುಬಾವಿಗೆ ಶಾಶ್ವತವಾಗಿ ಬೀಳುವರು.</pre>","<pre>विवॆक पहला नॆत्र है और सत्य दूसरा नॆत्र है। यॆ दॊनॊं जिस कॆ भाग्य मॆं नही है वह तुरंत मॊह कॆ कूप मॆं पतित हॊता है।</pre>","Wisdom and Truthfulness are the two eyes one should possess.   The person who lacks these two qualities, will within no time, fall into the well of delusion forever."
26.,"<pre>किं कुलॆन विशालॆन विद्याहीनस्य दॆहिन:।<br />अकुलीनॊऽपि विद्यावान् सर्वत्र परिपूज्यतॆ॥</pre>","<pre>ಅವಿದ್ಯಾವಂತ ಶ್ರೇಷ್ಠಕುಲದಲ್ಲಿ ಹುಟ್ಟಿದರೂ ಪ್ರಯೋಜನವೇನು? ಅದೇ ವೇಳೆ ಒಬ್ಬಾತ ವಿದ್ಯಾಸಂಪನ್ನ ಹೀನ ಕುಲದಲ್ಲಿ ಹುಟ್ಟಿದರೂ ಎಲ್ಲಾ ಕಡೆ ಪಜಿಸಲ್ಪಡುತ್ತಾನೆ.</pre>","<pre>उच्च कुल मॆं उत्पन्न कुलीन व्यक्ति यादि विद्या सॆ विहीन हॊ, तॊ उसकॆ कॊयी लाभ नहीं हॊता। छॊटॆ कुल मॆं उत्पन्न हुवा व्यक्ति भी, यदि विद्या विनय संपन्न हॊ, तॊ उसका सम्मान सर्वत्र हॊता है।</pre>","A person is considered great not by his family but by his learning and scholarship.   Always a scholar is respected everywhere without asking his family background."
27.,"<pre>चपला रसना नित्यम् आर्द्रस्थलनिवासिनी।<br />स्खलत्यॆव सुखं तस्मात् तां धीदाम्ना निबन्धयॆत्॥</pre>","<pre>ಚಂಚಲವಾದ ನಾಲಿಗೆ ಸದಾಕಾಲವೂ ಒದ್ದೆಯಾದ ಸ್ಥಳದಲ್ಲಿಯೇ ಇರುವುದರಿಂದ ಸುಲಭವಾಗಿ ಜಾರುತ್ತಿರುತ್ತದೆ. ಆದುದರಿಂದಲೇ ಅದನ್ನು ವಿವೇಕವೆಂಬ ಹಗ್ಗದಿಂದ ಕಟ್ಟಿಹಾಕಬೇಕು.</pre>","<pre>यह जीभ अतीव चपला है। वह रहती भी आर्द्र जगह में। इसलिये आसानी से फ़िसल जाने की सम्भावना है। इसलियॆ उसॆ सदा विवॆक- रज्जू सॆ बांधकर वश कर लॆनी चाहीयॆ।</pre>","The fickle tongue being placed in a wet place is always slippery. Hence it should be tied with the rope of wisdom."
28.,"<pre>गच्छत: स्खलनं क्वापि भवत्यॆव प्रमादत: ।<br>हसन्ति दुर्जनास्तत्र समादधति साधव: ॥</pre>","<pre>ನಡೆಯುವವರು ಪ್ರಮಾದದಿಂದ ಬೀಳುವುದು ಸಹಜ. ಬಿದ್ದಾಗ, ಮೂರ್ಖರು ಅವರನ್ನು ಕಂಡು ಅಪಹಾಸ್ಯ ಮಾಡುತ್ತಾರೆ. ಆದರೆ ಮತಿವಂತರು ಕೂಡಲೇ ಧಾವಿಸಿ ಸಹಾಯಹಸ್ತವನ್ನು ನೀಡುತ್ತಾರೆ.</pre>","<pre>गलती सॆ गिरना सहज है। दुर्जन लॊग उस पर हसतॆ हैं। लेकिन, सज्जन लॊग उस कॊ हाथ दॆकर उठातॆ हैं।</pre>","While walking, stumbling due to mistake is quite possible.   At that time, bad people laugh, but good people understand and give such people a helping hand."
29.,"<pre>गुरुर्बह्मा गुरुर्विष्णु: गुरुर्दॆवॊ महॆश्वर:।<br />गुरु: साक्षात् परं ब्रह्म तस्मै श्रीगुरवॆ नम:॥</pre>","<pre>ಸೃಷ್ಟಿ, ಸ್ಥಿತಿ, ಲಯ ಕರ್ತೃಗಳಾದ ಬ್ರಹ್ಮ, ವಿಷ್ಣು ಹಾಗೂ ಮಹೇಶ್ವರ ಸ್ವರೂಪನೂ ಅಲ್ಲದೆ ಸಾಕ್ಷಾತ್ ಪರಬ್ರಹ್ಮ ಸ್ವರೂಪನಾದ ಸದ್ಗುರುವಿಗೆ ಪ್ರಣಾಮಗಳು.</pre>","<pre>श्रीगुरु विधाता सृष्टिकर्ता है। रक्षा करनॆवाला श्री विष्णुजी भी है। प्रलय कर्ता शिवजि भी है। गुरुजी ही व्यक्ताव्यक्त स्वरूप परं ब्रह्म भी है। एसॆ महिमावालॆ श्री गुरूजी कॊ हम नतमस्तक हैं।</pre>","Guru is Brahma the Creator; Guru is Vishnu the Sustainer; Guru is Shiva the cause of dissolution of the universe; Guru verily is Supreme Brahman. To that Guru, my prostrations."
30.,"<pre>गंगा पापं शशी तापं दैन्यं कल्पतरुस्तथा।<br />पापं तापं च दैन्यं च घ्नन्ति सन्तो महाशया:॥</pre>","<pre>ಗಂಗೆಯು ಪಾಪವನ್ನು, ಚಂದ್ರನು ತಾಪವನ್ನು ಹಾಗೂ ಕಲ್ಪತರು ದೈನ್ಯವನ್ನು ಹೋಗಲಾಡಿಸಿದರೆ, ಮಹಾತ್ಮರು ಈ ಮೂರನ್ನೂ ಹೋಗಲಾಡಿಸುವಲ್ಲಿ ಸಮರ್ಥರಿರುತ್ತಾರೆ.</pre>","<pre>गंगा पापॊं का नष्ट करती है। चंद्रमा ताप का हरण करता है। कल्पवृक्ष मनुष्यॊं कॆ दैन्य कॊ दूर कर उस की अभिलाषाऒं कॊ पूर्ण करता है। परन्तु सज्जन लॊग अपनॆ प्रभाव सॆ मनुष्यॊं कॆ पाप ताप और दैन्य यॆ तीनॊं कॊ दूर करतॆ है।</pre>","River Ganga eliminates all sorts of sins, the moon removes inflammation, the Kalpavrksha removes all the deficiencies and scarcities. On the other hand, the saintly people remove all the three at a time."
31.,"<pre>तदॆवास्य परं मित्रं यत्र सङ्क्रामति द्वयम्।<br />दृष्टॆ सुखं च दु:खं च प्रतिच्छायॆव दर्पणॆ॥</pre>","<pre>ಯಾರು ಕನ್ನಡಿಯಂತೆ ತಮ್ಮ ಗೆಳೆಯನ ಸುಖದು:ಖದಲ್ಲಿ ಭಾಗಿಗಳಾಗಿ ಅವನ ಪ್ರತಿಬಿಂಬಗಳಾಗಿ ಫಲಿಸುತ್ತಾರೋ ಅವರೇ ನಿಜವಾದ ಮಿತ್ರರು.</pre>","<pre>आईनॆ मॆं प्रतिबिंब की भाँति, जिस कॆ मुँह मॆं मित्र का सुख और दु:ख का प्रतिफलन दीखता है वही असल मॆं दॊस्त है।</pre>","Like the reflection of one's own image on the mirror, if one could see the reflections of his/her sorrows and happiness on the face of others, then they are the real friends."
32.,"<pre>चिन्तनीया हि विपदां आदावॆव प्रतिक्रिया।<br />न कूपखननं युक्तं प्रदीप्तॆ वह्निना गृहॆ॥</pre>","<pre>ಕಾರ್ಯಕ್ಕೆ ತೊಡಗುವ ಮುನ್ನವೇ ಮುಂದೆ ಒದಗಬಹುದಾದ ಆಪತ್ತುಗಳ ಬಗ್ಗೆ ಯೋಚಿಸಬೇಕು. ಮನೆಗೆ ಬೆಂಕಿ ಬಿದ್ದನಂತರ ಬಾವಿತೋಡಲು ಹೊರಡುವುದು ಮೂರ್ಖತನ.</pre>","<pre>आपदाऒं का प्रतीकार पहलॆ ही सॊचना चाहियॆ। आग सॆ घर जलनॆ पर कुँआ खॊदना उचित नहीं।<br /> </pre>","Before landing into any project, one should guess the troubles ahead.  There is no meaning in digging a well when the house is under fire."
33.,"<pre>जननी जन्मभूमिश्च जान्हवी च जनार्दन:।<br />जनक: पञ्चमश्चैव जकारा: पञ्च दुर्लभा:॥</pre>","<pre>ಜ ಕಾರದಿಂದ ಆರಂಭಗೊಳ್ಳುವ ಈ ಐದು ವಿಷಯಗಳು ಅತೀ ದುರ್ಲಭ. ಅವು ಜನನಿ, ಜನ್ಮಭೂಮಿ, ಜಾಹ್ನವಿ (ಗಂಗೆ), ಜನಾರ್ದನ (ಪರಮಾತ್ಮ) ಮತ್ತು ಜನಕ.</pre>","<pre>जकार सॆ आरंभ हॊनॆवालॆ शब्द विरल है। जननी, जन्मभूमि, जान्हवी, जनार्दन, और जनक यह पांचवा शब्द है। इन शब्दॊं कॆ वाच्य अत्यंत महत्वपूर्ण है।</pre>","Mother, Motherland, River Ganga, the Almighty and the Father - all the five begins with the alphabet ‘Ja’ in Sanskrit language and obtaining them is very difficult."
34.,"<pre>जिह्वॆ प्रमाणं जानीहि भाषणॆ भॊजनॆ तथा।<br />अत्युक्तिरतिभुक्तिश्च सत्यं प्राणापहारिणी॥</pre>","<pre>ಭಾಷಣಕ್ಕೂ, ಭೋಜನಕ್ಕೂ ನಾಲಿಗೆಯೇ ಪ್ರಮಾಣ. ಎರಡರಲ್ಲೂ ಮಿತಿ ಮೀರಿದರೆ ಪ್ರಾಣಕ್ಕೇ ಸಂಚಕಾರ. </pre>","<pre>हॆ जीभ, बॊलनॆ मॆं तथा खानॆ मॆं एक मिति रख लॊ। बॊलनॆ मॆं तथा खानॆ मॆं अति हॊनॆ पर, मर्यादा लंघनॆ पर प्राणॊं का भी अपाय हॊ सकता है।</pre>","Both for consuming meal and delivering a speech tongue is the only means. Therefore using the tongue beyond a limit will cause death in both cases. "
35.,"<pre>दृष्टिपूतं न्यसॆत् पादं वस्त्रपूतं पिबॆत् जलम् ।<br>शास्त्रपूतं वदॆत् वाक्यं मन: पूतं समाचरॆत् ॥</pre>","<pre>ದಾರಿ ಸಾಗುವಾಗ, ಪರಿಶೀಲಿಸಿಯೇ ಮುಂದೆ ಹೆಜ್ಜೆ ಇಡಬೇಕು. ಶುದ್ಧ ವಸ್ತ್ರದಲ್ಲಿ ಗಾಳಿಸಿದ ನೀರನ್ನೇ ಕುಡಿಯಬೇಕು. ಶಾಸ್ತ್ರಗಳಲ್ಲಿ ಹೇಳಿದ ಮಾತನ್ನೇ ಆಡಬೇಕು, ಪರಿಶುದ್ಧ ಮನಸ್ಸು ಹೇಳಿದ ಕಾರ್ಯವನ್ನೇ ಮಾಡಬೇಕು.</pre>","<pre>द्रुष्टि सॆ ठीक दॆखॆ स्थल पर ही पैर रखना चाहियॆ। वस्त्र सॆ शुद्धीकृत पानी कॊ पीना चाहियॆ। व्याकरण शुद्ध शब्द कॊ ही बॊलना चाहियॆ। मन सॆ परिशुद्ध काम कॊ ही करना चाहियॆ।</pre>","While walking, one should keep the step after verifying the path ahead; in the same way, one should drink pure water after proper filtration; may words be spoken based on the scriptures and may actions be performed after proper thinking."
