samhita-adhyaya,"Slokas (Verses)",dummy1,dummy2
072-31,"<p>58-61. Nandīśvara of great splendour, the son of Pārvatī is worshipped and revered every day by the gods including Nārāyaṇa. He is stationed at the door of the harem of Śiva along with his attendants. He has the lustre of the lord; he is the suppressor of all Asuras. He is crowned as the president of all Śaivite rites. He is a favourite of Śiva. He is fondly devoted to Śivā. He has the excellent weapon of the glorious trident. He is attached to those who depend on Śiva. They too are attached to him. May he grant my desire at the behest of the two.</p>",,
072-31,"<p>62. Mahākāla of great arms is like another Mahādeva unto those who seek refuge in him. May he protect us always.</p>",,
072-31,"<p>63. He is a favourite of Śīva and is fondly attached to Śivā. He is their perpetual worshipper. May he grant my desire at the behest of the two.</p>",,
072-31,"<p>64. The chastiser is the knower of the meaning and truth of all Scriptures. He is another body of Viṣṇu. He is his son in the form of great delusion. He is fond of honey, meat and wine. May he grant my desire at the behest of the two.</p>",,
072-31,"<p>65-66. May the seven mothers&mdash;Brahmāṇī, Māheśī, Kaumārī, Vaiṣṇavī, Vārāhī, Māhendrī and Cāmuṇḍā of fierce valour, mothers of all the worlds, grant my desire at the behest of the two.</p>",,
072-31,"<p>67-69. He has the face of the elephant in rut. He is the son of Gaṅgā, Umā and Śiva. The firmament is his body; the quarters his arms; the moon, the sun and the fire his eyes. He is worshipped by the elephants of the quarters, Airāvata and others. The ichor of Śaivite knowledge comes out of him. He wards the obstacles of gods. He causes obstacles to the Asuras and others. He is sanctified by Śiva. May he grant my desire at the behest of the two.</p>",,
072-31,"<p>70-74. Ṣaṇmukha is born of Śiva. He holds Śakti and thunderbolt. He is the son of fire. He is also the son of Gaṅgā, Gaṇāmbā and Kṛttikās. He is surrounded by Viśākha, Śākha and Naigameya. He is the conqueror of Indra and the demon Tāraka. He is the Generalissimo of Indra&rsquo;s armies. He pierced the important mountains Meru and others with his splendour. He resembles molten gold. He has eyes resembling petals of lotuses. He is Kumāra and the model for all tender beings. He is the favourite of Śiva and fondly attached to Śivā. He is a perpetual worshipper of Śiva&rsquo;s feet. May he grant my desire at the behest of the two.</p>",,
072-31,"<p>75. Jyeṣṭhā, the excellent deity granting boons, is always engaged in worshipping them. May she grant my desire at the behest of the two.</p>",,
072-31,"<p>76-79. The goddess is saluted by the three worlds in the form of Ulkā(meteor, comet). She is requested by Brahmā to multiply the creation though Śivā. She came out from the middle of the eyebrows of Sivā who divided herself into Dākṣāyaṇī, Satī, Menā, Haimavatī, Umā. she is the mother of Kauśikī, Bhadrakālī, Aparṇā and Pāṭalā. She is Rudrāṇī the beloved of Rudra. She is always engaged in worshipping Śiva. May she grant my desire at the behest of the two.</p>",,
072-31,"<p>80. Caṇḍa is the lord of all the Gaṇas who is born of the face of Śiva. May he grant my desire at the behest of Śiva and Śivā.</p>",,
072-31,"<p>81. May Piṅgala the chief of Gaṇas, the prosperous one, fondly attached to Śivā and a favourite of Śiva, grant my desire at the behest of the two.</p>",,
072-31,"<p>82. May the chief Gaṇa Bhṛṅgīśa who is interested in propitiating Śiva grant my desire at the behest of Śiva.</p>",,
072-31,"<p>83-85. Vīrabhadra is of great splendour. He resembles snow, Kunda flower and the moon. He is the beloved of Bhadrakālī. He is the perpetual protector of mothers. He removed the head of Yaj&ntilde;a and of Dakṣa of wicked soul, he pared the limbs of Viṣṇu, Indra, Yama and other gods. He is a follower of Śiva. He is a glorious executor of Śiva&rsquo;s behests. May he grant my desire at the behest of Śiva.</p>",,
072-31,"<p>86. Sarasvatī born of the lotus-like speech of Maheśa is interested in worshipping Śiva and Śivā. May she grant my desire.</p>",,
072-31,"<p>87. Lakṣmī is stationed in the chest of Viṣṇu. She is engaged in worshipping Śiva and Śivā. At the very bidding of Śiva and Śivā, may she grant my desire.</p>",,
072-31,"<p>88. Mahāmoṭī is engaged in worshipping the feet of Mahādevī. At her very bidding may she grant my desire.</p>",,
072-31,"<p>89-90. Kauśikī is the daughter of Pārvatī. She rides on a lion. She is the great Māyā, the slumber of Viṣṇu. She is the suppressor of the demon Mahiṣa. She destroyed Śumbha and Niśumbha. She is fond of wine and meat. May she grant my desire duly honouring at the behest of her mother.</p>",,
072-31,"<p>91-95. Rudras have the lustre of Rudra. Pramathas are famous for their prowess. The Bhūtas have great virility. They have the lustre of Mahādeva. They are perpetual Yogins. They are uncomparable and devoid of conflicting pairs of defaults. They are free from dangers. They are accompanied by their Śaktis and followers. They are bowed to by the world. They are competent to create and annihilate the worlds. They are mutually loving and accommodating. They are very affectionate and respectful to one another. They are favourites of Śiva and are marked by his traits. They are gentle, terrible and mixture of both. They are in the midway between the two. They are ugly, good-featured and multi featured. May they grant my desire at the behest of the two.</p>",,
072-31,"<p>96-97. The group of the friends of the goddess has all the characteristics of the goddess. They are accompanied by the daughters of Rudras and Śaktis many in number. They have been worshipped in the third Āvaraṇa of Śiva with great devotion. Let them grant my desire at the behest of the two.</p>",,
072-31,"<p>98-101. The sun is the Mūrti with illuminated disc of Maheśa. He is Nirguṇa, Guṇasaṅkīrṇa, Guṇakevala, and Avikārātmaka. The first one is single with general variations. He is of extraordinary activity in creation, sustenance and annihilation. Thus he is divided into three, four or five ways. He is worshipped in the fourth Āvaraṇa of Śiva along with the followers. He is a favourite of Śiva and fondly attached to Śivā. He is engaged in worshipping the feet of Śiva. May he grant my desire at the behest of the two.</p>",,
072-31,"<p>102-105. The eight Mūrtis of the sun viz. Āditya, Bhāskara, Bhānu, Ravi, Arka, Brahmā, Rudra, and Viṣṇu, the eight Śaktis Dīptā etc., the six Aṅgas of the sun-god, the Śaktis viz. Vistarā, Sutarā, Bodhinī, Āpyāyinī, Uṣā, Prabhā, Prāj&ntilde;ā and Sandhyā and the planets beginning with Soma and ending with Ketu purified by Śiva&mdash;may these urged by the behest of Śiva and Śivā grant me everything auspicious.</p>",,
072-31,"<p>106-112. May the twelve Ādityas, and the twelve Śaktis, sages, Gandharvas, serpents, Apsaras, Grāmaṇīs, Yakṣas Rākṣasas, Asuras, the seven sets of seven, the seven horses identical with the Vedas and Vālakhilya and others, the worshippers of Śiva&rsquo;s feet, grant me everything at the behest of Śiva and Śivā. Brahmā the chief of the universe, a form of the lord of gods, having sixty-four attributes and achievements, and established in the principle of Buddhi, shall be worshipped in the fourth Āvaraṇa of Śiva. He is a favourite of Śiva, fondly attached to Śivā and is engaged in worshipping the feet of Śiva. May he grant my desire at the behest of the two.</p>",,
072-31,"<p>113-115. Hiraṇyagarbha the lord of the worlds, the Virāṭ, Kāla, Puruṣa, Sanat, Sanaka, Sananda, Sanātana, the Prajāpatis, the sons of Brahmā, Dakṣa and others, eleven in number with their wives, Dharma and Saṃkalpa&mdash;all these are engrossed in their devotion to Śiva being subservient to the behests of Śiva. May these grant my desire.</p>",,
072-31,"<p>116-117. May the four Vedas, the Itihāsas, Purāṇas, Dharma-Śāstras accompanied by the Vedic lore, although mutually disagreeing but based on the nature of Śiva, grant my desire at the behest of Śiva and Śivā.</p>",,
072-31,"<p>118-123. Then the great lord Rudra, the important form of lord Śivā, is the lord of the zone of Fire and possesses all Aiśvaryas. He is enriched with the identity with Śiva. He is devoid as well as possessed of attributes. He is Sāttvic, Rājasic and Tāmasic. Basically he is not prone to aberrations. Then outwardly he assumes aberrations. He is of extraordinary activity apart from the activity of creation etc. He cut off the head of Brahmā. He is his father as well as his son. He is the progenitor and son of Viṣṇu to whom he controls. He is the enlightener of both. The lord blesses them for ever. Rudra is stationed within and without the cosmos. He is the lord of the worlds. He is fond of Śiva to whom he is fondly attached. He is engaged in the worship of Śiva. May he grant my desire at the behest of Śiva.</p>",,
072-31,"<p>124-125. His six ancillaries Brahman etc. and the eight deities ending with Vidyeśa, the four different Mūrtis devoted to Śiva, with Śiva as their cause, Śiva, Bhava, Hara and Mṛḍa&mdash;may these grant my desire at the behest of Śiva.</p>",,
072-31,"<p>126-133. Viṣṇu is another form of the great lord Śiva himself. He is the lord of the principle of water. He is stationed in the region of the unmanifest. He is Nirguṇa. He is predominantly Sāttvic as well as possessed of single Guṇa. He does not identify himself with the created things. He has the three general aberrations. He is of extraordinary activity apart form that of creation. He compares with Brahmā though he is born of the right part of Śiva. He is created by the first Brahmā and he is his creator too. Viṣṇu abides within and without the universe. He is the lord of the worlds. With his discus he destroys Asuras. He is the younger brother of Indra. He has manifested himself in ten forms under the curse of Bhṛgu. He incarnated on the earth at his will for removing the burden of the Earth. His strength is immeasurable and incomprehensible. He is the wielder of Māyā. He fascinates the universe with his Māyā in the form of Mahāviṣṇu and Sadāviṣṇu. He is worshipped by the devotees of Viṣṇu in the seat of the three Mūrtis. He is a favourite of Śiva and is fondly attached to him. He is engaged in the worship of his feet. May he grant me what is auspicious at the behest of Śiva.</p>",,
072-31,"<p>134-136. The four Mūrtis of Viṣṇu, viz Vāsudeva, Aniruddha, Pradyumna, and Saṃkarṣaṇa, the ten Avataras viz&mdash;the fish, tortoise, boar, man-lion, dwarf, Rāma trio, Kṛṣṇa and the horse-faced Kalki, his discus Pā&ntilde;cajanya and the bow Śārṅga&mdash;may these grant my desire at the behest of the two.</p>",,
072-31,"<p>137. May Prabhā, Sarasvatī, Gaurī, and Lakṣmī sanctified by Śiva grant my desire at the behest of the two.</p>",,
072-31,"<p>138-139. May Indra, Agni, Yama, Nirṛti, Varuṇa, Vāyu, Soma, Kubera and Īśāna the wielder of the trident grant my desire at the behest of Śiva and Śivā. These are engaged in the worship of Śiva and have sanctified by their pious feelings to him.</p>",,
072-31,"<p>140-141. May the divine weapons of the lord and the goddess&mdash;viz&mdash;the trident, thunderbolt, axe, arrow, sword, noose, goad and the excellent weapon Pināka protect me always at behest of the two.</p>",,
072-31,"<p>142-143. May the bull, the powerful son of Kāmadhenu, rivalling with the submarine fire Vaḍavā, surrounded by five mother-cows who has attained the state being the vehicle of the lord and the goddess, grant my desire, at the behest of the two.</p>",,
072-31,"<p>144. The five mother-cows stationed in Śiva&rsquo;s region are Nandā, Sunandā, Surabhi, Suśīlā and Sumanās.</p>",,
072-31,"<p>145. They are engaged in devotion to Śiva and are engrossed in his worship. May these grant my desire at the behest of the two.</p>",,
072-31,"<p>146-150. Kṣetrapāla of great splendour resembling the blue cloud with his face terrible due to the curved fangs, refulgent with throbbing red lips, with red hairs lifted up, with the crooked, eyebrows, three circular red eyes, with the moon and the serpents as ornaments, being in nude form holds the trident noose, sword and the skull in his hands, of terrible aspect, surrounded by Bhairavas, Siddhas and Yoginīs, is seated in every temple. He is the protector of the good. Bowing to lord Śiva is his great interest. He is purified by pious feelings towards Śiva. He protects those who seek refuge in him particularly as his own sons. May he grant my desire at the behest of the two.</p>",,
072-31,"<p>151. May the four deities Tālajaṅgha and others worshipped in the first Āvaraṇa protect me at the behest of Śiva and Śivā.</p>",,
072-31,"<p>152. May Bhairava and others who surround him all round bless me at the behest of the two.</p>",,
072-31,"<p>153-155. Nārada and other sages who are worshipped even by the gods, the Sādhyas, serpents, gods who reside in Janaloka, the residents of Maharloka who have been deposed from authority, the seven sages and others along with the Gaṇas moving about in aeroplanes&mdash;all these engaged in the worship of Śiva and subservient to his bidding may grant my desire at the behest of the two.</p>",,
072-31,"<p>156 163. The four types of gods beginning with Gandharvas and ending with the Piśācas, Siddhas, Vidyādharas and others who move about in the sky, the Asuras and Rākṣasas who reside in the netherworlds, Ananta and other leading serpents, Vainateya and other birds, Kuṣmāṇḍas, Pretas, Vetālas, Grahas and Bhūtas, Ḍākinīs, Yoginīs, Śākinīs and evil witches, temples, parks, houses, holy centres, mansions continents, oceans, rivers, lakes, sumeru and other mountains, forests, animals, birds, trees, germs, worms, deer, the worlds, overlords of the worlds, seeds of life along with their Āvaraṇas, ten quarters, elephants of the quarters, letters, words, mantras, Tattvas along with their lords, Rudras who support the cosmos and other Rudras and their Śaktis whatever is seen, heard or inferred in this world&mdash;may all these grant my desire at the behest of the two.</p>",,
072-31,"<p>164-167. The great lore of Śiva capable of releasing the individual soul from the fivefold bondage is different from Paśuvidyā. The scripture of Śaivite virtue and the Dharma, the Purāṇa of Śiva approved of by Śrutis, and the Śaivite scriptures Kāmikā and others of four types honoured by Śiva and Śivā and worshipped by me may all these make this holy rite accomplished well and fruitful.</p>",,
072-31,"<p>168-169. May the early preceptors from Śveta to Nakulīśa along with their disciples, the preceptors born as members of their families, especially my preceptors, both Śaivas and Māheśvaras engrossed in Śiva&rsquo;s knowledge and holy rites, permit this holy rite to be fruitful and well accomplished.</p>",,
072-31,"<p>170-172. May the lay brahmins, Kṣatriyas, those who are experts in the knowledge of the Vedas and the ancillaries together with their tenets in the lines of Śaivite virtue, those who are well-versed in all sacred scriptures, the followers of Sāṃkhya, Vaiśeṣika, Nyāya and other systems of philosophy, the followers of the sun, Brahma, Rudra and Viṣṇu and all other good men particularly those who are wedded to Śaivite discipline&mdash;permit this holy rite which is the instrument for achieving my purpose.</p>",,
072-31,"<p>173-174. The followers of Śiva who adhere to the philosophical path, those who perform the Pāśupata rites those who observe the holy rites and the Śaivite holy men such as Kapālikas&mdash;all these are adherents and executors of Śiva&rsquo;s behests. They shall be worshipped by me at the behest of Śiva. May these bless me. Let them praise the successful holy rite.</p>",,
072-31,"<p>175. Those who adhere to the path of knowledge according to the southerners, those who follow the southern cult and the northern cult abide by me without mutual clash since I wish and seek the welfare through the mantras.</p>",,
072-31,"<p>176. May the atheists, tenacious rogues, ungrateful and Tāmasic heretics and great sinners be far away from me.</p>",,
072-31,"<p>177. Of what avail is the long eulogy? Let all the faithful bless me. Let all good men pronounce everything auspicious.</p>",,
072-31,"<p>178. Obeisance to Śiva accompanied by Śivā. Obeisance to you the primordial cause accompanied by your son. Obeisance to you encircled by the universe in the form of five Āvaraṇas.</p>",,
072-31,"<p>179. After saying this he shall prostrate before Śiva and Śivā and perform the Japa of the five-syllabled mantra not less than hundred and eight times.</p>",,
072-31,"<p>180. Similarly he shall perform the Japa of Śakti mantra, dedicate it to Śiva and crave forgiveness. He shall thus conclude the remaining rites of worship.</p>",,
072-31,"<p>181. This holiest of holy hymns is pleasant and agreeable to Śiva and Śivā. It yields all desires. It is the sole means for the achievement of worldly pleasures and salvation.</p>",,
072-31,"<p>182. He who repeats this everyday or listens to this with mental purity shakes off sins and attains Śivasāyujya soon.</p>",,
072-31,"<p>183-184. Slayers of cows, ungrateful wretches, murderers of heroes, those who slay children in the womb, murderers of those who seek refuge, those who kill friends and those who confide in them, those who commit wicked sins Such as matricide, patricide.&mdash;all these are released from their sins on repeating this hymn.</p>",,
072-31,"<p>185. When bad dreams and evil portents occur indicating terror and danger this hymn shall be repeated. Then those dangers do not befall.</p>",,
072-31,"<p>186. The man who regularly performs the Japa of this hymn obtains longevity, health, prosperity and everything else desired.</p>",,
072-31,"<p>187. The benefit thus mentioned is of the mere Japa of the hymn without worshipping. It is impossible to count the benefit if the Japa of the hymn is performed along with warship.</p>",,
072-31,"<p>188. Let the accruing of the benefit stand alone. When this Japa is repeated the lord on hearing this stands in the heaven along with the goddess.</p>",,
072-31,"<p>189. Hence after worshipping the lord and Umā in the heaven the devotee shall stand with palms joined in reverence and repeat the hymn.</p>",,
072-32,"<h1>Chapter 32 - The rites for achieving worldly benefits</h1>",,
072-32,"<h2><em>Upamanyu said</em>:&mdash;</h2>",,
072-32,"<p>1. O Kṛṣṇa, what has been mentioned to you is the site which yields benefit here and hereafter. It is a great synthesis of physical rites, penance, Japas and meditation.</p>",,
072-32,"<p>2. Now I shall mention that great rite of worship, Homa, Japa, meditation, penance and charitable gifts, which yields benefits here itself to men who follow Siva.</p>",,
072-32,"<p>3. The devotee expert in the meaning of mantras shall at the outset practise mantras since the rites of visible benefits here itself are not fruitful otherwise.</p>",,
072-32,"<p>4. A learned and sensible devotee, even after the mantra has been achieved, shall not haphazardly perform any rite the fruit whereof has been thwarted by some unseen powerful obstacle.</p>",,
072-32,"<p>5. Atonement is possible for that obstacle. Hence he shall perform that atonement after testing it at the outset by means of omens.</p>",,
072-32,"<p>6. He who due to delusion performs the rite yielding the benefit here itself does not attain the fruit thereof and becomes the laughing stock.</p>",,
072-32,"<p>7. Without faith and devotion no one shall perform the rite intended to yield direct benefit. He becomes an unbeliever and an unbeliever does not attain fruit.</p>",,
072-32,"<p>8. It is not the fault of the lord if the rite does not yield the fruit since it is found to yield fruit here itself for those who perform the rite exactly as ordained.</p>",,
072-32,"<p>9. An aspirant who has mastered the mantras overcoming the obstacles and who performs the rite with full confidence and conviction attains the fruit.</p>",,
072-32,"<p>10. Or, for the attainment of the benefit let him be scrupulously celibate, eating only the Haviṣya, milk-pudding or fruits.</p>",,
072-32,"<p>11. He shall not even think of, much less physically do, such prohibited actions as violence. He shall be pure always with clear dress and smear the body with Bhasma always.</p>",,
072-32,"<p>12-17. After observing the rules of conduct, the devotee shall on an auspicious and favourable day with the characteristics mentioned before, smear the ground with cowdung in a spot bedecked with garlands of flowers and draw the auspicious lotus shining with its own refulgence. It shall be of molten gold with eight petals and filaments, with the pericarp in the middle set with all gems. It shall be not less than a Hasta in width and must have a stalk befitting its size. He shall conceive Animā etc. in the bulbous root made of gold, in accordance with the injunctions. He shall install the phallic idol with its pedestal, made of gems, gold or crystal with the requisite characteristics. He shall invoke</p>",,
072-32,"<p>the eternal lord accompanied by Ambā and the Gaṇas. Śiva&rsquo;s form as Maheśvara shall also be conceived in the idol</p>",,
072-32,"<p>18-19. It shall have four arms and four faces. It shall be bedecked in all ornaments. It shall wear the tiger&rsquo;s hide with the smiling face and the gestures of granting boons and of protection to the devotee. Other hands shall hold the deer and the axe. Or if the conceiver desires he can conceive of the Mūrti as having eight arms.</p>",,
072-32,"<p>20. Then the right hand holds the trident, axe, sword and the thunderbolt. The left hands hold the noose, goad, iron club and the serpent.</p>",,
072-32,"<p>21. The Mūrti shall have the lustre of the rising sun. It shall have three eyes in every face. The face towards the east is gentle and has the refulgence befitting its size and features.</p>",,
072-32,"<p>22. The southern face resembles the blue cloud and has a terrific appearance. The northern face has the lustre of coral and is bedecked with dark forelocks.</p>",,
072-32,"<p>23. The western face is gentle with the lustre of the full moon. Seated on his lap is the great Śakti of Maheśvara</p>",,
072-32,"<p>24-25. She is famous as Mahālakṣmī dark coloured and wholly charming. After conceiving the Mūrti thus and unifying it into a whole he shall invoke the embodied lord and worship him. For the purpose of ablution he shall arrange for Pa&ntilde;cagavya prepared from a tawny cow.</p>",,
072-32,"<p>26-27. There shall be Pa&ntilde;cāmṛta and particularly the full seeds. He shall prepare the Maṇḍala ahead decorated with gem-dust. The water-pot of Īśāna shall be put in the pericarp. The water-pots of Sadyojāta shall be placed around, afterwards.</p>",,
072-32,"<p>28-30. Eight pots of Vidyeśa shall be filled with the waters of holy centres and threads shall be tied round them. Sacred articles of worship shall be dropped therein with due incantations in accordance with the injunctions. They shall be completely covered into the silken cloth with the mantras. When the proper time arrives he shall perform the ablation of the lord with Pa&ntilde;cagavya.</p>",,
072-32,"<p>31-33. Waters dropped from the Darbha grass, golden and gemset vessels, scented and flowery waters purified with the mantras shall be taken from the vessels and Maheśvara shall be bathed. Scents and flowers shall be offered, lights shown and the worship performed. The unguent shall be not less than a Pala by weight and the maximum shall be eleven Palas.</p>",,
072-32,"<p>34-36. Auspicious and charming flowers of good colour and fragrance blue and other lilies, plenty of Bilva leaves, red lotuses and white lotuses if available shall be used. The incense shall be offered with the black Aguru. The gum-resin shall be used with the camphor and ghee. The ghee used for lamps shall be of the milk of tawny cows. The five Brahmans, the six Aṅgas and the Āvaraṇas shall be worshipped.</p>",,
072-32,"<p>37. The Naivedya shall be made of Caru prepared in ghee and milk with jaggery. The water shall be rendered fragrant with the Pāṭala flowers, lilies and lotuses.</p>",,
072-32,"<p>38. Well-consecrated Tāmbūla along with five fragrant spices shall be offered.<sup>300</sup> The ornaments offered shall be made in gold and set with gems.</p>",,
072-32,"<p>39. Freshly woven cloths of various colours and of fine fabric attractive to the sight shall be offered with songs and instrumental music.</p>",,
072-32,"<p>40. The maximum number of times for Japa is hundred thousand. According to the benefit desired the number of worship varies from one to three.</p>",,
072-32,"<p>41. The number of sacrifices is not less than ten for every article and the maximum is hundred. In such rites as Māraṇa and Uccāṭana Śiva shall be conceived terrific in form.</p>",,
072-32,"<p>42. When quiescent or nourishing rites are being performed, Śiva shall be thought of as gentle in the phallic image in the Śiva-fire and in other idols as well.</p>",,
072-32,"<p>43. In Māraṇa and other rites the Śruk and Śruva shall be made of iron. In all other rites such as quiescent these shall be made of gold.</p>",,
072-32,"<p>44-46. In the rite of Mṛtyu&ntilde;jaya the Homa is performed with Dūrvā mixed with ghee and cow&rsquo;s milk, or honey or with Caru along with ghee, or milk alone. For the rites intended to quell ailments to attain prosperity and subdue poverty, gingelly seeds, ghee, milk or lotus-flowers shall be used. Persons seeking to bring persons under control shall perform Homa with Jātī flowers and ghee.</p>",,
072-32,"<p>47. A Brahman shall perform the rite of Ākarṣaṇa with ghee and Karavīra flowers, Uccāṭana with oil and Stambhana with honey.</p>",,
072-32,"<p>48. Stambhana rite can be performed with mustard also; Pātana with garlic; Tāḍana with the blood of mule, camel or of both.</p>",,
072-32,"<p>49. Māraṇa and Uccāṭana shall be performed with Rohi and gingelly seeds. Vidveṣaṇa rite shall be performed with the oil of Lāṅgala.</p>",,
072-32,"<p>50-52. Bandhana rites and the rite of paralysing of a vast army shall be performed with the seeds of Rohi. In Ābhicārika rites the articles of Homa shall be used with the red mustard and the Homa shall be performed with oils extracted from manually operated machines. It can also be performed with seeds of cotton in combination with Kaṭukī and husk. In Ābhicārika rites the devotee shall perform Homa with mustard seeds mixed with oil. Milk yields the subdual of fevers and is conducive to good fortune.</p>",,
072-32,"<p>53. Homa offered with honey, ghee, curds, milk and rice-grains or with Caru grants all desires.</p>",,
072-32,"<p>54. Quiescent, nourishing, Vaśya and Ākarṣaṇa rites shall be performed with the seven articles of worship sacrificial twigs etc.</p>",,
072-32,"<p>55. Vaśya, Ākarṣaṇa and Śrīpada (glorious position) rites shall be performed with the leaves of Bilva for Havana. It yields conquest over the enemies</p>",,
072-32,"<p>56. In quiescent rites the twigs of Palāśa, Khadira etc. shall be used. In rites of cruelty the twigs of Karavīra and Arka shall be used. Twigs of thorny trees shall be used in the rite of war.</p>",,
072-32,"<p>57. A quiet man shall perform the quiescent and nourishing rites particularly. A ruthless man with angry mind shall perform Abhicarika rites.</p>",,
072-32,"<p>58. When the harassment is unbearable and condition is pitiable, when there is no other remedy, only then shall one perform the Ābhicārika rite against desperadoes.</p>",,
072-32,"<p>59. No virtuous man, occupying honourable position or otherwise shall perform the Ābhicārika rite against the ruler of his country.</p>",,
072-32,"<p>60. Even if he happens to be a desperado one shall not perform Ābhicārika rite against a person who has sought refuge in Śiva, mentally, verbally or physically.</p>",,
072-32,"<p>61. A man performing Ābhicārika rite against the ruler of his country whether he be a devotee of Śiva or not, shall have a fall immediately.</p>",,
072-32,"<p>62. If he wishes for his own happinness he shall not perform Ābhicārika rite against the protector of his country or against any devotee of Śiva.</p>",,
072-32,"<p>63. If he performs the rite of Māraṇa etc. against any other person he shall perform expiatory rites after due repentence.</p>",,
072-32,"<p>64. Whether the devotee is rich or poor he shall worship the lord in a Bāṇa or self-born or Ārṣaka or a Vaidika liṅga.</p>",,
072-32,"<p>65. If liṅgas of gold and gems are not available or if he is unable to possess them he shall perform the worship mentally or with substitute articles.</p>",,
072-32,"<p>66. If a devotee can perform worship in some part he too derives the benefit of that part in accordance with his ability.</p>",,
072-32,"<p>67. If the benefit is not seen even if the rite is performed, it shall be repeated twice or thrice. By all means the benefit will be received.</p>",,
072-32,"<p>68. Whatever material is used in worship, gold, gem and other articles shall be handed to the preceptor apart form the Dakṣiṇā offered separately.</p>",,
072-32,"<p>69. If the preceptor does not wish to receive, the entire gift shall be given to Śiva or the devotees of Śiva. It shall not be given to any other.</p>",,
072-32,"<p>70-71. If any one performs the rite himself without the help of a preceptor the procedure shall be the same. He shall not appropriate the gift to himself. If he appropriates the articles of worship for himself out of greed under delusion he will not attain his desire,</p>",,
072-32,"<p>72. The liṅga used for worship may be taken by himself or given to others. If he takes that himself he shall worship it everyday or cause it to be worshipped on his behalf.</p>",,
072-32,"<p>73. If he performs the rite as ordained he cannot but have the benefit. What other inducement for worship shall there be?</p>",,
072-32,"<p>74-75. Still I shall mention about the excellent achievement through the rite. Even if he is attacked by the enemy or tormented by ailments, even if he falls into the jaws of death he will be freed without danger. Even the worst miserly fellow will become worthy of respect. The poor will become Kuvera, god of wealth.</p>",,
072-32,"<p>76. The ugly man will become beautiful, the aged will become young. The enemy will turn a friend, the opponent will grow subordinate.</p>",,
072-32,"<p>77-79. The nectar that may have turned into poison shall become nectar again. The ground may turn into ocean and ocean into ground; the ditch into a mountain and the mountain into a ditch; fire into a lotus lake and the lotus lake into fire; the park into a forest and the forest into a garden; the animal into a lion and the lion into an animal.</p>",,
072-32,"<p>80. Women will run after him voluntarily. Prosperity will behave like a chaste lady and will not leave him. The goddess of speech will be his slave girl, fame a prostitute.</p>",,
072-32,"<p>81. The intelligence will roam about as it pleases. His mind will be pure like a diamond. His strength will be like a violent gust of wind or like an elephant in rut.</p>",,
072-32,"<p>82. His activities on the side of the enemies will be paralysed in their effort. The friends of enemies will become their enemies.</p>",,
072-32,"<p>83. The enemies along with their kinsmen will be no better than corpses though physically alive. Though faced with mishaps he will be freed from them and become immortal.</p>",,
072-32,"<p>84. Even if he takes unwholesome food it will act as aphrodisiac. Even if he indulges in sexual intercourse everyday it will give him fresh thrills.</p>",,
072-32,"<p>85. Everything hitherto inaccessible to him will become accessible like the myrobalan in the palm. Even Siddhis aṇimā etc. will become available at his will.</p>",,
072-32,"<p>86. Of what use is much talk? When this rite is performed there remains nothing unattainable.</p>",,
072-33,"<h1>Chapter 33 - Rites for deriving benefits hereafter</h1>",,
072-33,"<h2><em>Upamanyu said</em>:&mdash;</h2>",,
072-33,"<p>1. Now I shall mention the rite for the benefits attainable solely after death. There is nothing like this rite in the three worlds.</p>",,
072-33,"<p>2-6. The rite is attended with the excellence of merits. It has been performed by all the gods, particularly by Brahmā, Viṣṇu, Rudra, Indra, the guardians of the quarters, the nine planets&mdash;sun-god and others, by Viśvāmitra, Vasiṣṭha and other sages who know Brahman, by Śveta, Agastya, Dadhīca and others, by us seeking refuge in Śiva, by Nandīśvara, Mahākāla, Bhṛṅgīśa and other Gaṇeśvaras, by the Daityas residing in the nether worlds, by Śeṣa and other serpents, by Siddhas, Yakṣas, Gandharvas, Rākṣasas, Bhūtas, Piśācas and practically by every one who has attained his respective position. It is by means of this rite that the gods have attained their godhood.</p>",,
072-33,"<p>7. Brahmā attained his Brahmāhood, Viṣṇu his Viṣṇuhood, Rudra his Rudrahood and Indra his Indrahood. It is by means of this rite that Gaṇeśa attained his Gaṇeśahood.</p>",,
072-33,"<p>8-10. The liṅga shall be bathed with white sandal water. Therein Śiva find Śivā shall be worshipped with full-blown white lotuses and bowed to. He shall make a lotus-seat very charming and endowed with all characteristics by means of gold-dust and gem-dust in accordance with one&rsquo;s affluence. In the midst of the filaments a small liṅga shall be placed. It shall be of the size of the thumb, but charming, auspicious and rendered fragrant with all scents. It shall be placed to the south and worshipped with Bilva leaves.</p>",,
072-33,"<p>11-12. To the south he shall apply Aguru. To the west he shall apply red arsenic. To the north he shall apply sandal and to the east he shall apply yellow orpiment. He shall then worship with charming fragrant flowers of various colours.</p>",,
072-33,"<p>13. The black Aguru shall be used for incense and fumigation along with Guggulu. Fine cloths bright in colours shall be offered.</p>",,
072-33,"<p>14. Milk-pudding mixed with ghee, and lamps with ghee for burning shall be offered. After offering everything with repetitions of mantras he shall circumambulate.</p>",,
072-33,"<p>15. After bowing with devotion to the lord of the gods he shall eulogise the lord and crave forgiveness. Naivedya consisting of all offerings shall be offered to the Liṅga.</p>",,
